country,total,caseOrigin,percentageOrigin,rank50,caseDestination,percentageDestination,rank10
Africa,303,-,-,-,-,-,-,-
Angola,4,-,-,-,6,0.11,-
BurkinaFaso,-,1,0.02,-,-,-,-
Burundi,-,1,0.02,-,-,-,-
Cameroon,-,2,0.04,-,-,-,-
Chad,-,1,0.02,-,1,0.02,-
Congo,-,35,0.64,29,-,-,-
Djibouti,17,-,-,-,16,0.29,-
Ethiopia,44,122,2.22,10,-,-,-
Eritrea,-,3,0.05,-,-,-,-
Gambia,-,1,0.02,-,-,-,-
Ghana,20,21,0.38,40,21,0.38,-
Kenya,2,2,0.04,-,2,0.04,-
Lesotho,-,2,0.04,-,1,0.02,-
Liberia,-,2,0.04,-,-,-,-
Libya,-,-,-,-,13,0.24,-
Madagascar,-,1,0.02,-,-,-,-
Malawi,-,1,0.02,-,-,-,-
Mali,32,14,0.25,,19,0.35,-
Mauritius,24,-,-,-,48,0.87,-
Mozambique,-,-,-,-,2,0.04,-
Nigeria,35,65,1.18,18,10,0.18,-
Rwanda,-,2,0.04,-,-,-,-
Senegal,1,19,0.35,43,2,0.04,-
Somalia,-,74,1.35,16,-,-,-
South Africa,13,1,0.02,-,21,0.38,-
Sudan,-,1,0.02,-,-,-,-
Swaziland,-,1,0.02,-,-,-,-
Tanzania,47,53,0.96,22,47,0.85,-
Uganda,45,31,0.56,34,34,0.62,-
Zambia,14,16,0.29,48,7,0.13,-
Zimbabwe,5,5,0.09,-,-,-,-
South & Central Asia,1049,-,-,-,-,-,-
Afghanistan,199,179,3.26,8,170,3.09,6
Bangladesh,15,26,0.47,38,10,0.18,-
India,53,53,0.96,21,87,1.58,-
Kazakhstan,141,76,1.38,16,265,4.82,5
Kyrgyzstan,202,213,3.87,7,32,0.58,-
Mongolia,-,1,1,0.02,-,-,-,-
Nepal,113,116,2.11,11,81,1.47,-
Pakistan,3,29,0.53,35,5,0.09,-
SriLanka,7,15,0.27,50,-,-,-
Tajikistan,62,58,1.05,20,5,0.09,-
Turkmenistan,50,48,0.87,25,-,-,-
Uzbekistan,204,292,5.31,5,36,0.65,-
East Asia &Pacific,860,-,-,-,-,-,-
Burma/Myanmar,-,42,0.76,26,-,-,-
Cambodia,122,258,4.69,6,16,0.29,-
China,-,16,0.29,46,87,1.58,-
Indonesia,83,103,1.87,13,148,2.69,7
Japan,34,-,-,-,18,0.33,-
Kiribati,-,-,-,-,1,0.02,-
Laos,195,359,6.53,4,-,-,-
Malaysia,38,-,-,-,82,1.49,-
Philippines,24,62,1.13,19,-,-,-
Singapore,-,-,-,-,2,0.04,-
Thailand,260,64,1.16,18,449,8.17,4
TimorLeste,2,1,0.02,-,2,0.04,-
Vietnam,102,104,1.89,12,1,0.02,-
Europe,1606,-,-,-,-,-,-
Albania,36,37,0.67,28,18,0.33,-
Austria,4,-,-,-,-,-,-
Azerbaijan,71,31,0.56,33,52,0.95,-
Belarus,142,141,2.56,9,36,0.65,-
Belgium,7,-,-,-,6,0.11,-
Bosnia and Herz.,-,1,0.02,-,1,0.02,-
Bulgaria,20,67,1.22,17,1,0.02,-
Czech Rep.,26,13,0.24,-,25,0.45,-
Cyprus,-,-,-,-,7,0.13,-
Denmark,22,-,-,-,27,0.49,-
Estonia,3,5,0.09,-,-,-,-
Finland,2,-,-,-,8,0.15,-
France,2,-,-,-,11,0.20,-
Georgia,3,8,0.15,-,1,0.02,-
Germany,69,1,0.02,-,92,1.67,-
Greece,18,1,0.02,-,32,0.58,-
Hungary,20,48,0.87,24,-,-,-
Ireland,2,-,-,-,6,0.11,-
Italy,6,-,-,-,20,0.36,-
Kosovo,18,19,0.35,42,20,0.36,-
Latvia,-,1,0.02,-,-,-,-
Lithuania,4,10,0.18,-,2,0.04,-
Macedonia,-,2,0.04,-,4,0.07,-
Moldova,98,100,1.82,14,17,0.31,-
Montenegro,1,-,-,-,2,0.04,-
Netherlands,33,-,-,-,55,1.00,-
Norway,6,-,-,-,3,0.05,-
Poland,9,3,0.05,-,148,2.69,8
Portugal,1,-,-,-,13,0.24,-
Romania,21,90,1.64,15,2,0.04,-
Russia ,,16,0.29,47,837,15.22,1
Serbia,31,27,0.49,37,16,0.29,-
Slovakia,26,28,0.51,36,3,0.05,-
Slovenia,-,-,-,-,1,0.02,-
Spain,23,-,-,-,35,0.64,-
Sweden,-,-,-,-,1,0.02,-
Switzerland,20,-,-,-,34,0.62,-
Turkey,35,38,0.69,27,101,1.84,10
United Kingdom,13,-,-,-,37,0.67,-
Ukraine,814,835,15.19,1,87,1.58,-
NearEast,696,-,-,-,-,-,-
Egpyt,100,4,0.07,-,103,1.87,9
Iran,-,2,0.04,-,4,0.07,-
Iraq,36,19,0.35,41,65,1.18,-
Jordan,10,-,-,-,16,0.29,-
Lebanon,9,-,-,-,-,-,-
Morocco,10,-,-,-,3,0.05,-
Syria,18,-,-,-,36,0.65,-
Yemen,513,378,6.88,3,552,10.04,3
United Arab Emirates,-,-,-,-,94,1.71,-
Lebanon,-,-,-,-,15,0.27,-
Israel,-,-,-,-,6,0.11,-
SaudiArabia,-,-,-,-,1,0.02,-
Western Hemisphere,984,-,-,-,-,-,-
Argentina,32,17,0.31,45,51,0.93,-
Bolivia,16,32,0.58,32,-,-,-
Chile,1,-,-,-,1,0.02,
Colombia,23,34,0.62,31,3,0.05,-
CostaRica,4,-,-,-,7,0.13,-
Dominica,-,1,0.02,-,-,-,-
Dominican Rep.,49,10,0.18,-,46,0.84,-
Ecuador,1,4,0.07,-,2,0.04,-
ElSalvador,25,35,0.64,30,18,0.33,-
Guatemala,58,48,0.87,23,19,0.35,-
Haiti,656,709,12.90,2,658,11.97,2
Mexico,6,9,0.16,-,6,0.11,-
Nicaragua,18,24,0.44,39,7,0.13,-
Peru,5,9,0.16,-,5,0.09,-
Caribbean,25,-,-,-,-,-,-
United States,65,-,-,-,71,1.29,-
Canada,-,-,-,-,1,0.02,-
Brazil,-,18,0.33,44,1,0.02,-
Jamaica,-,15,0.27,49,5,0.09,-
Honduras,-,5,0.09,-,1,0.02,-
Paraguay,-,3,0.05,-,-,-,-
Antigua and Barbuda,-,-,-,-,16,0.29,-
Belize,-,-,-,-,1,0.02,-
Panama,-,-,-,-,1,0.02,-
Trinidadand Tobego,-,-,-,-,1,0.02,-
Guyana,-,3,0.05,-,2,0.04,-
Venezuela,-,2,0.04,-,-,-,-
